,channelTitle,2020-08-11 00:00:00,2020-08-12 00:00:00,2020-08-13 00:00:00,2020-08-14 00:00:00,2020-08-15 00:00:00,2020-08-16 00:00:00,2020-08-17 00:00:00,2020-08-18 00:00:00,2020-08-19 00:00:00,2020-08-20 00:00:00,2020-08-21 00:00:00,2020-08-22 00:00:00,2020-08-23 00:00:00,2020-08-24 00:00:00,2020-08-25 00:00:00,2020-08-26 00:00:00,2020-08-27 00:00:00,2020-08-28 00:00:00,2020-08-29 00:00:00,2020-08-30 00:00:00,2020-08-31 00:00:00,2020-09-01 00:00:00,2020-09-02 00:00:00,2020-09-03 00:00:00,2020-09-04 00:00:00,2020-09-05 00:00:00,2020-09-06 00:00:00,2020-09-07 00:00:00,2020-09-08 00:00:00,2020-09-09 00:00:00,2020-09-10 00:00:00,2020-09-11 00:00:00,2020-09-12 00:00:00,2020-09-13 00:00:00,2020-09-14 00:00:00,2020-09-15 00:00:00,2020-09-16 00:00:00,2020-09-17 00:00:00,2020-09-18 00:00:00,2020-09-19 00:00:00,2020-09-20 00:00:00,2020-09-21 00:00:00,2020-09-22 00:00:00,2020-09-23 00:00:00,2020-09-24 00:00:00,2020-09-25 00:00:00,2020-09-26 00:00:00,2020-09-27 00:00:00,2020-09-28 00:00:00,2020-09-29 00:00:00,2020-09-30 00:00:00,2020-10-01 00:00:00,2020-10-02 00:00:00,2020-10-03 00:00:00,2020-10-04 00:00:00,2020-10-05 00:00:00,2020-10-06 00:00:00,2020-10-07 00:00:00,2020-10-08 00:00:00,2020-10-09 00:00:00,2020-10-10 00:00:00,2020-10-11 00:00:00,2020-10-12 00:00:00,2020-10-13 00:00:00,2020-10-14 00:00:00,2020-10-15 00:00:00,channel_average,channel_std,trues
156,Bobby Duke Arts,28,28,46,18,55,28,38,19,19,19,28,19,37,19,19,20,35,35,19,28,40,19,20,20,0,19,29,57,61,0,20,20,37,18,20,40,20,20,30,19,19,40,30,20,0,39,19,38,20,20,39,20,98,28,28,0,71,30,29,39,37,0,29,20,100,0,28.46969696969697,18.651687466894735,5
157,Wisin,60,91,41,54,96,100,55,61,78,60,68,63,96,72,49,59,62,64,94,55,46,69,54,61,75,61,70,74,79,41,56,66,52,68,71,72,79,83,73,93,70,67,41,78,62,65,96,86,50,71,76,65,57,61,65,69,52,46,74,56,77,93,43,73,78,78,67.72727272727273,14.59508578000211,8
158,Marshmello,87,79,78,77,89,85,68,70,60,70,93,69,76,72,78,88,61,74,71,77,66,90,76,79,86,94,86,76,80,84,90,100,70,70,62,70,86,83,82,81,72,65,82,65,84,68,78,77,83,67,59,77,88,72,92,77,86,86,62,72,82,80,77,73,71,81,77.4090909090909,9.033569167323979,4
159,Justin Bieber,41,41,44,40,40,41,38,40,33,34,40,42,39,37,34,36,38,40,39,40,33,34,36,35,53,61,50,47,46,45,40,39,43,38,34,37,36,36,100,85,65,53,55,54,53,53,52,45,44,45,40,41,44,47,42,39,42,44,37,38,44,43,40,40,40,43,43.75757575757576,10.8781969958548,4
160,Jaclyn Hill,22,22,15,21,18,18,22,33,22,26,22,18,22,11,15,28,41,37,22,37,59,39,27,31,11,23,19,15,16,24,8,19,29,11,8,24,16,16,39,18,23,8,32,23,27,53,100,63,59,31,19,12,35,15,22,28,20,23,8,12,15,15,15,20,12,23,24.803030303030305,15.11794007229109,5
161,NASA,24,47,32,42,25,28,22,42,29,26,22,21,39,35,41,31,34,41,29,24,42,27,39,26,39,27,26,38,19,31,21,31,21,29,31,35,29,34,19,36,31,41,35,40,32,26,31,29,29,29,28,37,74,100,38,25,37,30,26,21,29,27,26,37,33,27,32.60606060606061,11.819191876028897,2
162,Ozuna,39,40,42,45,57,41,51,44,44,47,47,56,51,36,43,40,42,49,49,50,38,49,56,69,100,97,88,69,65,62,59,61,71,64,65,64,59,56,67,72,63,55,51,61,59,67,65,64,52,51,58,57,48,55,56,55,50,41,46,49,56,50,42,46,47,47,55.07575757575758,12.553293188666647,3
163,Hulu,78,63,82,45,23,64,73,67,70,53,46,85,57,59,53,100,67,68,52,61,52,63,63,66,38,56,62,64,81,84,80,66,66,60,73,90,73,24,55,60,50,46,78,92,56,80,54,58,91,61,72,65,48,55,75,87,47,42,57,65,60,71,50,55,55,61,63.22727272727273,14.875030384023416,5
164,Dynasty,100,74,87,85,78,75,94,78,83,82,92,76,83,92,89,73,75,72,74,59,85,76,84,74,72,69,80,96,86,77,74,86,84,70,79,85,79,83,92,89,89,83,63,91,92,94,73,77,67,80,80,87,72,69,66,82,71,88,72,74,80,75,74,77,86,71,79.9090909090909,8.457966072445823,4
165,Super Smash Bros.,0,0,26,26,52,0,27,27,0,27,26,53,26,54,0,29,0,66,27,27,0,28,0,28,41,27,27,27,43,0,0,0,0,26,28,0,55,28,28,0,27,29,29,28,28,27,27,27,0,0,0,100,28,27,26,0,0,28,28,0,27,26,28,0,0,0,21.5,19.429944088255304,6
166,Daz Games,76,86,73,87,70,57,87,74,89,80,97,73,92,67,80,90,56,75,62,71,78,71,66,67,70,75,78,69,52,57,70,77,61,65,92,77,78,66,63,68,75,53,54,76,97,67,71,67,69,68,77,71,76,94,66,88,96,77,100,66,76,88,86,91,85,72,74.96969696969697,11.477210220851894,5
167,cark,0,0,0,0,26,0,27,0,27,28,53,26,26,0,28,29,33,100,27,41,28,0,70,56,28,27,41,0,58,58,29,28,27,27,0,0,28,28,0,0,82,0,0,0,28,28,0,27,28,28,28,0,28,0,27,58,0,0,28,0,0,0,0,0,0,29,21.560606060606062,22.289506151576695,7
